#options: 592x352 fps=3/1 timebase=1/3 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=3 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=8 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:130 out:131 type:b dur:2 cpbdur:2 q:37.13 aq:40.00 tex:0 mv:6 misc:138 imb:0 pmb:2 smb:812 d:- ref:0 ;
in:133 out:132 type:P dur:2 cpbdur:2 q:36.27 aq:25.54 tex:4211 mv:275 misc:450 imb:3 pmb:67 smb:744 d:s ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:36.92 aq:40.00 tex:1 mv:17 misc:174 imb:0 pmb:8 smb:806 d:t ref:0 ;
in:135 out:134 type:P dur:2 cpbdur:2 q:35.50 aq:25.98 tex:13075 mv:505 misc:804 imb:6 pmb:215 smb:593 d:s ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:35.89 aq:39.00 tex:2 mv:26 misc:164 imb:0 pmb:8 smb:806 d:s ref:0 ;
in:137 out:136 type:P dur:2 cpbdur:2 q:35.47 aq:25.72 tex:4550 mv:213 misc:525 imb:2 pmb:92 smb:720 d:s ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:35.48 aq:38.00 tex:0 mv:11 misc:141 imb:0 pmb:4 smb:810 d:s ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:36.78 aq:32.58 tex:700 mv:74 misc:178 imb:0 pmb:14 smb:800 d:s ref:0 ;
in:140 out:139 type:P dur:2 cpbdur:2 q:37.11 aq:32.12 tex:1968 mv:199 misc:217 imb:0 pmb:31 smb:783 d:s ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:36.95 aq:40.00 tex:41 mv:54 misc:153 imb:0 pmb:6 smb:808 d:s ref:0 ;
